badgeNum,pName
59386,30th
34811,60th
83970,186th
75784,79th
43017,45th
59407,175th
75795,31th
34841,194th
92192,82th
92193,15th
34851,195th
59428,45th
43046,131th
59434,165th
26667,168th
43064,72th
30388,118th
18493,116th
65888,93th
75847,138th
26702,77th
59472,158th
59473,76th
59475,144th
34904,124th
34906,31th
59491,13th
43119,41th
18544,40th
92274,127th
75891,84th
34941,95th
34950,190th
34955,182th
10384,99th
18578,133th
59540,156th
31770,153th
18592,91th
51362,184th
43177,9th
26794,89th
67764,8th
51383,47th
92346,52th
84166,33th
84171,171th
46797,159th
35024,15th
59602,104th
75989,153th
10466,88th
51431,66th
26884,44th
92421,91th
16771,135th
92437,152th
67862,169th
10520,132th
76057,150th
35099,23th
18742,45th
51526,70th
59721,59th
57741,123th
84310,179th
59736,36th
35161,80th
35165,91th
92511,119th
26976,53th
51555,43th
26980,188th
43365,51th
43371,2nd
10607,168th
43380,171th
59770,42th
76164,170th
10636,118th
43417,126th
59802,149th
59805,160th
89159,82th
43442,77th
51638,16th
10679,28th
68024,31th
35260,43th
68031,106th
43461,90th
10719,47th
76262,29th
76269,22th
84466,176th
27127,154th
22272,41th
18947,153th
76299,155th
84495,5th
51728,44th
92690,187th
68134,172th
51755,136th
27180,80th
35373,130th
59953,92th
59955,34th
18999,39th
59960,64th
43579,12th
92738,63th
92741,78th
19017,99th
51791,110th
84561,136th
68188,28th
42768,11th
90555,63th
19070,35th
19073,85th
43650,111th
10891,59th
16834,61th
35473,89th
27282,188th
27286,12th
76445,90th
59163,13th
19109,102th
51890,78th
35509,159th
68281,107th
92861,45th
76490,129th
60113,106th
18214,34th
76529,156th
92915,175th
60149,7th
19197,120th
84734,134th
76545,175th
76560,175th
92948,194th
92952,12th
68381,12th
27426,22th
52007,132th
76593,148th
19266,145th
85136,104th
43877,35th
19315,94th
68470,16th
11128,82th
19339,142th
84876,39th
22338,72th
11157,131th
35737,87th
68510,189th
43946,94th
19395,70th
52168,195th
27593,91th
84943,81th
93136,50th
27612,165th
76773,125th
84967,106th
76777,177th
19440,63th
35832,11th
84986,67th
93182,168th
11266,5th
11288,92th
19481,45th
27677,26th
19486,99th
83804,68th
44077,98th
44079,138th
27704,27th
11325,7th
68670,42th
16907,170th
35916,54th
52303,161th
68699,167th
76894,176th
60526,38th
52345,145th
11390,142th
68752,23th
19613,164th
60577,107th
85163,41th
85164,161th
60595,161th
27852,20th
93399,118th
19673,35th
44256,46th
27885,160th
85231,60th
27892,192th
19704,20th
93433,66th
36092,3rd
60683,7th
85267,123th
60694,82th
60703,118th
85280,181th
36132,104th
85285,104th
93480,31th
27948,89th
93485,127th
85294,123th
44335,152th
19760,83th
36155,148th
85315,130th
27976,110th
11596,50th
93517,68th
93518,109th
27984,114th
37432,147th
36180,66th
93533,2nd
77170,182th
60787,195th
85364,103th
36214,162th
11646,24th
19843,125th
11652,17th
85390,43th
11670,130th
11671,124th
69030,161th
60842,141th
60849,11th
11699,101th
93632,195th
85445,190th
19912,12th
19916,87th
11736,97th
19934,3rd
23803,26th
28138,116th
60912,58th
36344,128th
28157,131th
77310,114th
36360,1st
28169,170th
87981,151th
36373,6th
28187,138th
52771,180th
77348,134th
85542,114th
77359,82th
11826,186th
20023,65th
69177,131th
20031,50th
93764,99th
93773,6th
11860,99th
61014,179th
28248,194th
44634,159th
77405,6th
69215,162th
20075,133th
93805,167th
52848,121th
44661,125th
85622,126th
44670,101th
52864,70th
44677,4th
77452,166th
77457,103th
77460,126th
28326,24th
90737,161th
85674,177th
28343,114th
93881,66th
77510,175th
59340,107th
69322,64th
69326,103th
93904,95th
61143,13th
28379,56th
44764,8th
36133,89th
44773,16th
28390,33th
12010,30th
83922,58th
85746,129th
12020,94th
85752,87th
12029,104th
61184,122th
55254,17th
44809,91th
53010,173th
85781,84th
18394,73th
69441,39th
28482,88th
85830,181th
61257,147th
20302,66th
28502,137th
94040,169th
61273,118th
77664,134th
77670,80th
20338,141th
53107,112th
44920,184th
85886,58th
28544,147th
69506,35th
12163,128th
77700,110th
61324,101th
36749,131th
12197,8th
36775,132th
85933,159th
85938,168th
77749,174th
94136,124th
20425,63th
77133,40th
28624,193th
45012,129th
61404,104th
45021,109th
36833,46th
77797,73th
77805,121th
36846,141th
65331,151th
61435,127th
45052,62th
61441,53th
53259,93th
69645,22th
61463,37th
69656,10th
86042,52th
20507,128th
69661,53th
94238,138th
61478,4th
28712,24th
94253,159th
36914,114th
83977,10th
20539,59th
12348,177th
36928,123th
94278,98th
61530,75th
61532,13th
28767,155th
53345,105th
36962,20th
77928,87th
86121,182th
36977,114th
94327,8th
94333,105th
28808,159th
61577,97th
94351,54th
86168,149th
20634,61th
28828,88th
12450,26th
85362,72th
20654,27th
94383,171th
86192,81th
53435,49th
61631,170th
68982,55th
51235,149th
45291,6th
78060,171th
94447,187th
45296,35th
85374,39th
45303,177th
86269,62th
94463,29th
94467,110th
37124,51th
20743,86th
94472,2nd
28939,135th
86289,148th
86294,56th
17114,7th
12574,63th
61729,35th
12581,173th
78126,94th
94512,166th
94519,79th
12602,24th
69949,129th
86338,43th
45387,186th
61774,152th
78163,103th
37215,74th
61809,91th
29043,171th
61812,155th
49897,63th
70016,141th
37250,109th
12685,115th
61843,161th
29091,11th
61861,191th
94631,95th
20912,102th
53681,85th
20927,107th
94657,181th
37314,135th
37315,123th
45510,145th
37321,127th
29134,85th
20956,81th
45534,133th
51280,130th
85414,6th
61944,132th
53755,144th
53760,117th
94722,32th
53763,169th
70148,93th
86541,109th
86546,150th
82693,123th
94753,172th
70178,194th
70180,112th
53799,62th
86791,152th
21037,83th
62001,65th
94776,152th
45628,130th
45634,45th
26070,177th
78411,159th
37458,50th
94808,59th
70236,40th
12895,28th
21089,12th
94820,167th
86634,139th
62061,129th
78447,155th
37493,135th
53880,143th
86659,59th
94853,56th
12934,68th
21132,41th
62095,72th
20344,5th
37528,81th
12953,153th
12956,6th
53936,178th
12986,19th
94917,45th
94920,170th
62164,15th
13025,151th
13027,38th
13041,151th
21235,185th
86774,30th
13055,135th
45824,62th
13063,63th
21256,145th
78603,170th
62224,23th
95008,48th
59526,192th
70453,151th
95041,64th
13141,169th
78678,31th
45912,5th
95069,65th
13150,144th
29542,181th
21357,150th
37758,185th
29568,131th
45954,76th
62344,180th
70539,55th
78743,70th
37787,61th
54172,68th
77296,158th
95142,77th
86953,22th
13229,63th
21429,190th
70591,99th
95169,145th
62403,72th
21447,27th
46027,95th
13263,39th
62420,63th
70613,34th
78818,185th
22697,92th
21496,176th
37883,48th
78864,70th
70674,166th
62486,118th
54296,16th
29721,62th
29724,171th
21535,109th
70690,39th
97802,179th
87102,5th
29767,96th
78927,47th
62549,50th
29782,148th
63673,141th
95332,166th
13418,14th
21620,33th
58218,78th
44565,12th
78980,139th
21644,108th
62317,77th
78999,42th
21661,25th
29856,178th
95393,144th
46249,167th
13491,181th
13493,158th
79032,183th
70854,91th
79049,85th
46289,56th
54482,117th
95452,47th
70881,104th
54501,136th
29926,136th
62705,92th
46327,131th
62716,67th
46344,34th
54537,135th
70926,191th
70932,83th
29979,64th
62751,32th
62752,195th
29987,161th
95543,39th
46404,94th
41870,165th
54618,67th
30046,26th
21855,112th
38241,162th
65083,92th
21861,20th
21876,32th
38270,33th
71050,22th
21901,179th
95631,16th
38291,102th
13718,150th
79263,122th
62881,3rd
81478,69th
54694,139th
46513,130th
13765,116th
21958,114th
87497,41th
95697,184th
87514,92th
95712,39th
71142,55th
62952,7th
62956,91th
95727,123th
46585,93th
54784,119th
54790,136th
30215,168th
46602,131th
22030,164th
59652,110th
31831,125th
71197,155th
95777,78th
63010,32th
22057,1st
22063,119th
95796,48th
95807,171th
46658,69th
30275,5th
95814,72th
63062,115th
38490,164th
95836,102th
13919,69th
87649,186th
71268,21th
95853,122th
38512,181th
43285,157th
46733,134th
22158,51th
30353,16th
22162,90th
13251,191th
38557,144th
87711,101th
95910,117th
13993,11th
46762,87th
30380,151th
95918,187th
95919,161th
38576,70th
46769,23th
79539,171th
95924,22th
54967,189th
87737,9th
54979,26th
54989,193th
29647,36th
63206,32th
30446,180th
46835,61th
95989,21th
71415,124th
63227,54th
78805,106th
14080,73th
22277,115th
14087,107th
55058,23th
79638,46th
71447,42th
55072,137th
38696,42th
87854,160th
55096,106th
71490,34th
38724,60th
96074,96th
13282,187th
79697,159th
22358,36th
14171,189th
46940,3rd
65168,26th
55139,131th
96105,139th
87914,165th
46958,144th
14191,95th
22388,22th
55179,95th
63382,112th
87967,53th
47011,83th
63398,105th
47021,22th
30642,35th
87992,11th
91125,124th
96196,31th
22469,154th
55241,110th
63441,105th
63442,130th
96212,134th
47062,28th
71648,34th
71652,66th
22505,108th
38897,65th
55288,79th
47108,65th
35158,33th
79881,67th
96274,160th
79893,106th
79894,171th
71709,14th
30754,134th
47139,103th
38953,31th
79915,34th
55342,130th
71737,63th
79930,130th
96319,1st
30786,57th
63555,161th
38991,46th
55380,147th
14426,51th
96348,27th
88162,71th
55403,13th
96367,190th
14458,156th
71817,120th
14482,77th
30867,41th
14484,43th
14486,134th
46105,64th
43375,153th
22685,14th
96424,134th
71849,169th
30897,42th
55478,48th
22713,79th
40651,141th
81612,138th
39117,152th
47319,14th
96475,88th
22749,9th
80105,87th
47341,74th
47345,168th
22779,60th
88319,61th
30977,144th
96516,105th
96531,15th
63764,137th
96541,103th
88354,145th
63779,99th
47403,120th
55602,189th
39221,28th
63800,168th
82997,78th
80197,44th
80198,178th
39244,158th
88397,63th
14670,38th
55631,174th
93926,76th
88422,121th
88427,63th
39277,82th
22898,93th
80245,118th
55677,148th
39294,53th
55683,89th
55689,43th
72077,105th
72081,17th
72085,56th
80278,41th
72101,30th
88501,34th
47550,187th
72136,101th
96714,169th
55773,80th
23006,109th
96677,192th
39392,42th
31202,89th
23013,195th
72174,146th
39409,126th
14848,89th
73695,12th
23049,51th
64015,38th
47635,110th
80405,42th
64022,152th
55831,78th
14875,104th
88609,32th
23078,56th
64044,75th
96813,1st
23086,114th
96816,49th
64055,15th
39489,53th
23107,163th
55883,140th
64081,134th
23126,51th
80473,29th
39515,9th
23132,101th
64101,3rd
88678,85th
23144,78th
96876,9th
63934,84th
80503,41th
39547,74th
96892,13th
14982,123th
72328,137th
31374,121th
23196,108th
42097,36th
39592,129th
47786,175th
96946,62th
96955,112th
56005,86th
15046,190th
56010,7th
31440,153th
96985,30th
47834,25th
80607,126th
64224,64th
50299,44th
96996,124th
39675,3rd
39681,140th
23301,144th
15115,101th
23309,110th
64271,53th
31506,111th
56086,179th
64290,54th
80679,101th
64298,155th
64299,63th
47917,96th
97075,6th
64312,110th
18911,92th
31548,145th
64320,134th
88913,166th
72530,119th
97107,68th
97116,104th
56160,145th
23398,89th
81724,132th
64369,125th
39800,155th
72569,32th
80767,18th
56194,109th
88963,64th
48008,62th
21655,54th
85826,89th
15247,4th
23454,78th
80801,13th
48041,160th
23466,71th
64427,122th
31667,194th
79343,4th
56249,127th
89018,116th
15296,141th
23494,91th
64474,189th
97247,87th
89056,187th
31719,146th
48114,77th
80883,141th
64506,51th
64509,180th
23554,178th
97289,42th
72721,66th
23570,129th
27139,76th
23578,184th
48155,45th
64540,97th
39967,29th
31780,9th
15397,86th
64558,168th
57182,150th
64568,192th
48190,118th
80961,36th
56386,41th
23623,5th
40011,173th
29880,186th
97363,40th
72790,98th
15447,51th
15464,30th
81008,17th
48242,154th
66754,178th
72849,53th
48276,113th
81046,16th
97438,169th
95430,42th
72870,163th
89257,115th
72886,167th
89279,160th
23756,193th
81103,189th
31953,116th
23766,91th
23768,161th
89305,9th
56546,127th
40163,20th
27174,94th
72935,181th
31977,92th
81789,56th
72946,139th
23796,13th
72950,25th
64763,131th
89343,62th
89353,173th
99543,42th
56593,78th
15635,13th
97558,13th
97561,188th
56606,184th
56616,98th
48425,158th
40247,42th
64827,11th
81214,28th
97599,181th
56640,191th
53132,132th
81227,34th
64849,53th
23890,8th
19003,25th
89444,10th
64871,164th
48492,118th
73070,154th
56696,35th
97660,53th
32125,36th
64904,30th
40332,116th
32146,146th
32148,45th
32152,59th
64924,144th
81324,83th
23986,23th
81334,46th
48568,55th
64954,147th
40385,24th
48581,121th
32201,25th
56781,51th
24029,15th
15845,164th
47697,113th
48621,139th
15855,109th
97776,180th
40439,188th
73208,90th
81406,46th
40458,65th
97807,176th
81425,37th
89626,193th
15900,104th
32303,104th
81457,88th
81461,125th
48694,132th
24122,58th
32315,94th
73276,155th
89664,97th
32321,16th
97860,127th
40518,161th
89672,174th
32330,25th
89676,137th
32362,37th
40557,23th
97916,110th
48765,157th
48767,51th
40896,24th
48777,47th
24202,63th
56976,177th
16018,191th
40602,76th
40603,82th
81573,135th
97968,25th
48823,150th
73417,59th
65226,15th
89803,75th
73420,24th
73423,177th
48851,76th
32481,60th
16100,20th
16101,87th
98025,150th
16111,22th
65266,163th
98035,84th
57087,81th
32514,114th
48899,164th
10881,103th
56185,66th
98065,176th
16146,5th
24351,108th
40740,30th
32553,181th
73523,192th
73524,142th
32568,81th
98107,31th
65340,138th
57150,61th
32575,160th
16194,21th
57158,29th
24395,157th
16207,69th
96910,48th
48990,30th
65375,136th
16224,69th
89953,93th
24427,38th
57204,104th
89975,72th
89977,166th
49018,41th
16253,121th
16265,159th
57229,120th
89998,124th
49043,179th
65438,132th
16290,26th
73638,62th
57258,161th
81839,78th
98226,101th
57269,17th
65462,106th
42313,177th
16320,93th
24518,82th
90063,6th
65491,62th
16348,195th
32733,176th
35493,15th
81891,48th
57316,109th
40937,17th
40943,177th
90096,100th
90099,187th
24566,132th
